Member No,Full Name,Phone,National ID,Group,Status
M090,Member 090,+260 97 000090,,Group 4,Active
M091,Member 091,+260 97 000091,,Group 4,Active
M092,Member 092,+260 97 000092,,Group 4,Active
M093,Member 093,+260 97 000093,,Group 4,Active
M094,Member 094,+260 97 000094,,Group 4,Active
M095,Member 095,+260 97 000095,,Group 4,Active
M096,Member 096,+260 97 000096,,Group 4,Active
M097,Member 097,+260 97 000097,,Group 4,Active
M098,Member 098,+260 97 000098,,Group 4,Active
M099,Member 099,+260 97 000099,,Group 4,Active
M100,Member 100,+260 97 000100,,Group 4,Active
M101,Member 101,+260 97 000101,,Group 5,Active
M102,Member 102,+260 97 000102,,Group 5,Active
M103,Member 103,+260 97 000103,,Group 5,Active
M104,Member 104,+260 97 000104,,Group 5,Active
M105,Member 105,+260 97 000105,,Group 5,Active
M106,Member 106,+260 97 000106,,Group 5,Active
M107,Member 107,+260 97 000107,,Group 5,Active
M108,Member 108,+260 97 000108,,Group 5,Active
M109,Member 109,+260 97 000109,,Group 5,Active
M110,Member 110,+260 97 000110,,Group 5,Active
M111,Member 111,+260 97 000111,,Group 5,Active
M112,Member 112,+260 97 000112,,Group 5,Active
M113,Member 113,+260 97 000113,,Group 5,Active
M114,Member 114,+260 97 000114,,Group 5,Active
M115,Member 115,+260 97 000115,,Group 5,Active
M116,Member 116,+260 97 000116,,Group 5,Active
M117,Member 117,+260 97 000117,,Group 5,Active
M118,Member 118,+260 97 000118,,Group 5,Active
M119,Member 119,+260 97 000119,,Group 5,Active
M120,Member 120,+260 97 000120,,Group 5,Active
M121,Member 121,+260 97 000121,,Group 5,Active
M122,Member 122,+260 97 000122,,Group 5,Active
M123,Member 123,+260 97 000123,,Group 5,Active
M124,Member 124,+260 97 000124,,Group 5,Active
M125,Member 125,+260 97 000125,,Group 5,Active
M126,Member 126,+260 97 000126,,Group 6,Active
M127,Member 127,+260 97 000127,,Group 6,Active
M128,Member 128,+260 97 000128,,Group 6,Active
M129,Member 129,+260 97 000129,,Group 6,Active
M130,Member 130,+260 97 000130,,Group 6,Active
M131,Member 131,+260 97 000131,,Group 6,Active
M132,Member 132,+260 97 000132,,Group 6,Active
M133,Member 133,+260 97 000133,,Group 6,Active
M134,Member 134,+260 97 000134,,Group 6,Active
M135,Member 135,+260 97 000135,,Group 6,Active
M136,Member 136,+260 97 000136,,Group 6,Active
M137,Member 137,+260 97 000137,,Group 6,Active
M138,Member 138,+260 97 000138,,Group 6,Active
M139,Member 139,+260 97 000139,,Group 6,Active
M140,Member 140,+260 97 000140,,Group 6,Active
M141,Member 141,+260 97 000141,,Group 6,Active
M142,Member 142,+260 97 000142,,Group 6,Active
M143,Member 143,+260 97 000143,,Group 6,Active
M144,Member 144,+260 97 000144,,Group 6,Active
M145,Member 145,+260 97 000145,,Group 6,Active
M146,Member 146,+260 97 000146,,Group 6,Active
M147,Member 147,+260 97 000147,,Group 6,Active
M148,Member 148,+260 97 000148,,Group 6,Active
M149,Member 149,+260 97 000149,,Group 6,Active
M150,Member 150,+260 97 000150,,Group 6,Active
M151,Member 151,+260 97 000151,,Group 7,Active
M152,Member 152,+260 97 000152,,Group 7,Active
M153,Member 153,+260 97 000153,,Group 7,Active
M154,Member 154,+260 97 000154,,Group 7,Active
M155,Member 155,+260 97 000155,,Group 7,Active
M156,Member 156,+260 97 000156,,Group 7,Active
M157,Member 157,+260 97 000157,,Group 7,Active
M158,Member 158,+260 97 000158,,Group 7,Active
M159,Member 159,+260 97 000159,,Group 7,Active
M160,Member 160,+260 97 000160,,Group 7,Active
M161,Member 161,+260 97 000161,,Group 7,Active
M162,Member 162,+260 97 000162,,Group 7,Active
M163,Member 163,+260 97 000163,,Group 7,Active
M164,Member 164,+260 97 000164,,Group 7,Active
M165,Member 165,+260 97 000165,,Group 7,Active
M166,Member 166,+260 97 000166,,Group 7,Active
M167,Member 167,+260 97 000167,,Group 7,Active
M168,Member 168,+260 97 000168,,Group 7,Active
M169,Member 169,+260 97 000169,,Group 7,Active
M170,Member 170,+260 97 000170,,Group 7,Active
M171,Member 171,+260 97 000171,,Group 7,Active
M172,Member 172,+260 97 000172,,Group 7,Active
M173,Member 173,+260 97 000173,,Group 7,Active
M174,Member 174,+260 97 000174,,Group 7,Active
M175,Member 175,+260 97 000175,,Group 7,Active
M176,Member 176,+260 97 000176,,Group 8,Active
M177,Member 177,+260 97 000177,,Group 8,Active
M178,Member 178,+260 97 000178,,Group 8,Active
M179,Member 179,+260 97 000179,,Group 8,Active
M180,Member 180,+260 97 000180,,Group 8,Active
M181,Member 181,+260 97 000181,,Group 8,Active
M182,Member 182,+260 97 000182,,Group 8,Active
M183,Member 183,+260 97 000183,,Group 8,Active
M184,Member 184,+260 97 000184,,Group 8,Active
M185,Member 185,+260 97 000185,,Group 8,Active
M186,Member 186,+260 97 000186,,Group 8,Active
M187,Member 187,+260 97 000187,,Group 8,Active
M188,Member 188,+260 97 000188,,Group 8,Active
M189,Member 189,+260 97 000189,,Group 8,Active
M190,Member 190,+260 97 000190,,Group 8,Active
M191,Member 191,+260 97 000191,,Group 8,Active
M192,Member 192,+260 97 000192,,Group 8,Active
M193,Member 193,+260 97 000193,,Group 8,Active
M194,Member 194,+260 97 000194,,Group 8,Active
M195,Member 195,+260 97 000195,,Group 8,Active
M196,Member 196,+260 97 000196,,Group 8,Active
M197,Member 197,+260 97 000197,,Group 8,Active
M198,Member 198,+260 97 000198,,Group 8,Active
M199,Member 199,+260 97 000199,,Group 8,Active
M200,Member 200,+260 97 000200,,Group 8,Active
M201,Member 201,+260 97 000201,,Group 9,Active
M202,Member 202,+260 97 000202,,Group 9,Active
M203,Member 203,+260 97 000203,,Group 9,Active
M204,Member 204,+260 97 000204,,Group 9,Active
M205,Member 205,+260 97 000205,,Group 9,Active
M206,Member 206,+260 97 000206,,Group 9,Active
M207,Member 207,+260 97 000207,,Group 9,Active
M208,Member 208,+260 97 000208,,Group 9,Active
M209,Member 209,+260 97 000209,,Group 9,Active
M210,Member 210,+260 97 000210,,Group 9,Active
M211,Member 211,+260 97 000211,,Group 9,Active
M212,Member 212,+260 97 000212,,Group 9,Active
M213,Member 213,+260 97 000213,,Group 9,Active
M214,Member 214,+260 97 000214,,Group 9,Active
M215,Member 215,+260 97 000215,,Group 9,Active
M216,Member 216,+260 97 000216,,Group 9,Active
M217,Member 217,+260 97 000217,,Group 9,Active
M218,Member 218,+260 97 000218,,Group 9,Active
M219,Member 219,+260 97 000219,,Group 9,Active
M220,Member 220,+260 97 000220,,Group 9,Active
M221,Member 221,+260 97 000221,,Group 9,Active
M222,Member 222,+260 97 000222,,Group 9,Active
M223,Member 223,+260 97 000223,,Group 9,Active
M224,Member 224,+260 97 000224,,Group 9,Active
M225,Member 225,+260 97 000225,,Group 9,Active
M226,Member 226,+260 97 000226,,Group 10,Active
M227,Member 227,+260 97 000227,,Group 10,Active
M228,Member 228,+260 97 000228,,Group 10,Active
M229,Member 229,+260 97 000229,,Group 10,Active
M230,Member 230,+260 97 000230,,Group 10,Active
M231,Member 231,+260 97 000231,,Group 10,Active
M232,Member 232,+260 97 000232,,Group 10,Active
M233,Member 233,+260 97 000233,,Group 10,Active
M234,Member 234,+260 97 000234,,Group 10,Active
M235,Member 235,+260 97 000235,,Group 10,Active
M236,Member 236,+260 97 000236,,Group 10,Active
M237,Member 237,+260 97 000237,,Group 10,Active
M238,Member 238,+260 97 000238,,Group 10,Active
M239,Member 239,+260 97 000239,,Group 10,Active
M240,Member 240,+260 97 000240,,Group 10,Active
M241,Member 241,+260 97 000241,,Group 10,Active
M242,Member 242,+260 97 000242,,Group 10,Active
M243,Member 243,+260 97 000243,,Group 10,Active
M244,Member 244,+260 97 000244,,Group 10,Active
M245,Member 245,+260 97 000245,,Group 10,Active
M246,Member 246,+260 97 000246,,Group 10,Active
M247,Member 247,+260 97 000247,,Group 10,Active
M248,Member 248,+260 97 000248,,Group 10,Active
M249,Member 249,+260 97 000249,,Group 10,Active
M250,Member 250,+260 97 000250,,Group 10,Active
